== Alignment Results (odd-one-out accuracy) ==

[distance=cosine] file=/home/maxvonk/diffusion-alignment/things_playground/things_data/alignment.pkl
  source | model | module | acc
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.1 | 0.3661
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.10 | 0.3895
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.11 | 0.3862
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.12 | 0.3887
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.13 | 0.3858
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.14 | 0.3832
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.15 | 0.3777
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.16 | 0.3749
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.17 | 0.3721
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.18 | 0.3714
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.19 | 0.3669
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.2 | 0.3665
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.20 | 0.3689
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.21 | 0.3701
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.22 | 0.3710
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.23 | 0.3732
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.3 | 0.3685
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.4 | 0.3697
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.5 | 0.3711
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.6 | 0.3729
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.7 | 0.3757
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.8 | 0.3815
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.9 | 0.3850
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.0 | 0.3621
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.1 | 0.3646
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.10 | 0.3832
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.11 | 0.3811
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.12 | 0.3831
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.13 | 0.3794
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.14 | 0.3758
